ID;codigo_ibg;uf;regions;pib;species;PRD.mean;yield.mean;FC_m;FC2km;FC500m;PollinatorD;EUdist;patchD;CC;CC_ha;CC2km;CC500m;CC_m;farm_size;EUdist.mean;patch.density.x.mean;farm_size_mean.mean;honey_kg.mean;LUD.mean;coffee_Tassistane_P;mechanic_harvest;coffee_irrigation_P;ncoffee_FertiOrg_P;coffee_agrotox_P;coffee_familiar_P;x;y;elevation_f;temp_annual.mean;isoterm.mean;temp_season.mean;maxTemp_wm.mean;minTemp_cm.mean;temp_range.mean;mTemp_wq.mean;mTemp_dq.mean;mTemp_warmq.mean;mTemp_coldq.mean;prep_annual.mean;prep_wm.mean;prep_dm.mean;prep_season.mean;prep_wq.mean;prep_dq.mean;prep_warmq.mean;prep_cold.mean
491;4105102;PR;NC;94094;Coffea arabica;0.3;22.4055555555556;0.0553333333333333;0.056;0.054;0.3;428.903358101551;9.95385225975707e-07;1.06663128919333;401;0.017;0.071;0.00969509318948731;4.60919540229885;428.903358101551;9.95385225975707e-07;4.60919540229885;1605.33333333333;1.20763456746004;50.6493506493506;1;4.54545454545455;14.2857142857143;42.8571428571429;72.1518987341772;-51.56073734;-22.80528023;404.418181818182;22.9074071248372;52.2406997680664;263.664764404297;30.7777777777778;13.1111111111111;17.6666666666667;24.7407404581706;21.037036895752;25.8888888888889;20.8148148854574;1348.88888888889;306.888888888889;6.22222222222221;76.3489638434516;781.555555555557;38.4444444444444;503.777777777778;145.777777777778
492;4105508;PR;Noro;1163048;Coffea arabica;0.3;18.0444444444445;0.11;0.1;0.0703333333333333;0.3;350.197966351039;1.24993853489371e-06;0.661166971708162;544;0.039;0.121;0.00806890912741954;2.84816753926702;350.197966351039;1.24993853489371e-06;2.84816753926702;21000;1.4748641953376;43.1734317343173;2;3.690036900369;14.3911439114391;75.6457564575646;70.9090909090909;-52.6269256;-23.72737105;390;22.2870370017158;51.6242643992106;290.839006212022;30.0555555555556;12.6666666666667;17.3888888888889;24.2777774598863;19.9074072308011;25.8333330154419;20.3333332273695;1572.94444444444;296.944444444445;6.88888888888889;62.4915957980686;737.944444444445;82.7777777777777;560.388888888889;224.333333333333
493;4105607;PR;Noro;179921;Coffea arabica;0.3;17.5444444444444;0.0483333333333333;0.0423333333333333;0.00866666666666667;0.3;639.376513210594;1.21679237903268e-06;0.130847477577702;53.6666666666667;0.003;0.026;0.000849144280979837;3.83333333333333;639.376513210594;1.21679237903268e-06;3.83333333333333;700;0.854523238767929;23.0769230769231;0;7.69230769230769;7.69230769230769;30.7692307692308;40.7407407407407;-52.95854267;-23.38277434;337;22.5979533613774;51.6167988693505;293.164470471834;30.3684210526316;12.9298245614035;17.4385964912281;24.8888887104235;20.1929822553668;26.0701750370494;20.6198829851652;1278.52631578947;222.263157894737;3.47368421052632;59.3390052527712;568.157894736842;64.8245614035088;443.122807017544;178.438596491228
494;4105904;PR;NC;437638;Coffea arabica;0.3;14.75;0.0313333333333333;0.0213333333333333;0.0183333333333333;0.3;747.375966724615;8.73398980080803e-07;0.40701558054588;166;0.015;0.066;0.00828493013637754;2.51515151515152;747.375966724615;8.73398980080803e-07;2.51515151515152;320;0.520897854922199;48.4615384615385;2;5.38461538461539;10.7692307692308;48.4615384615385;48.5074626865672;-51.97179074;-22.83665257;399.75;23.1444445292155;53.3762377421061;263.280804443359;30.8;13.5333333333333;17.2666666666667;25.4222221374512;21.2;26.1999997456868;21.2888888041178;1263.93333333333;267.733333333333;6.53333333333333;70.1083758036296;685.866666666667;40.7333333333333;489.866666666667;142.733333333333
495;4106001;PR;NP;83086;Coffea arabica;0.3;27.6555555555556;0.135666666666667;0.106;0.0806666666666667;0.3;258.230974073333;2.74765727394812e-06;1.56167110437808;844;0.017;0.07;0.00688893025377357;4.37305699481865;258.230974073333;2.74765727394812e-06;4.37305699481865;2316.66666666667;1.32159849270331;32.1070234113712;0;2.34113712374582;1.33779264214047;41.8060200668896;84.1059602649007;-50.50379326;-23.605463;600.25;20.8968252454485;52.466858455113;265.441926502046;28.6666666666667;11.2857142857143;17.3809523809524;23.4444442930676;18.7142853509812;24.0317460922968;19.0634920937674;1554.71428571429;355.142857142857;9.47619047619047;78.7368501935687;918.523809523808;66.7142857142857;648.428571428571;183.857142857143
496;4106100;PR;NP;36774;Coffea arabica;0.3;43.4722222222222;0.0646666666666667;0.0443333333333333;0.0386666666666667;0.3;284.522114477853;2.12682321927089e-06;1.94517875700876;399;0.028;0.077;0.0146761535677398;4.86585365853659;284.522114477853;2.12682321927089e-06;4.86585365853659;289.333333333333;1.70576085179167;55.1020408163265;0;2.04081632653061;2.04081632653061;18.3673469387755;75.7575757575758;-50.12969179;-23.59725622;536.5;21.4777777353923;51.6408676147461;263.396035766602;29.6666666666667;12;17.6666666666667;23.9555553436279;18.888889058431;24.6222220102946;19.8444444020589;1404.86666666667;338.733333333333;9.46666666666667;83.2567581176758;887.133333333333;62.6666666666667;652.8;168.733333333333
497;4106308;PR;OeP;270222;Coffea arabica;0.3;24.5666666666667;0.120333333333333;0.101666666666667;0.081;0.3;196.975000191982;2.26336581754383e-06;0.116664891604135;62.6666666666667;0.008;0.072;0.000900959206474644;31.3333333333333;196.975000191982;2.26336581754383e-06;31.3333333333333;45072.6666666667;1.23660085275962;50;0;0;0;50;100;-53.2370041;-24.74268077;559.714285714286;20.7555555343628;49.9145559946696;313.680079142252;28.4333333333333;11.1666666666667;17.2666666666667;23.2222220102946;18.3999999364217;24.5666662851969;18.8111109733582;1498.93333333333;231.9;13.0333333333333;53.3938593546549;563;135.5;454.966666666667;257.766666666667
498;4106407;PR;NP;780751;Coffea arabica;0.3;24.4888888888889;0.0973333333333333;0.0676666666666667;0.048;0.3;342.107104540097;1.50595414641512e-06;1.54906656200806;990;0.023;0.1;0.0142370313200502;11.7857142857143;342.107104540097;1.50595414641512e-06;11.7857142857143;7703.66666666667;1.28732962735942;82.8947368421053;2;1.97368421052632;3.94736842105263;74.3421052631579;65.1315789473684;-50.62289616;-23.22588438;485;22.0771604467321;52.650690290663;257.740971317998;29.9259259259259;12.5185185185185;17.4074074074074;24.2839504524513;20.0617282302291;25.0493827395969;20.2098765196624;1493.66666666667;351;7.25925925925926;82.1809429592556;917.962962962964;48.2592592592593;620.444444444445;159.444444444444
499;4106555;PR;CeO;37291;Coffea arabica;0.3;18.9722222222222;0.126333333333333;0.105666666666667;0.0963333333333333;0.3;215.816271037909;3.45546593992652e-06;11.3168143468728;1885.66666666667;0.111;0.205;0.106882126158642;8.49399399399399;215.816271037909;3.45546593992652e-06;8.49399399399399;1016.66666666667;1.67399382437921;13.0718954248366;2;3.26797385620915;2.28758169934641;80.718954248366;90.6451612903226;-52.14202597;-24.12401021;610.941176470588;20.5014620663827;52.2801262035705;298.870608145731;28.1578947368421;10.9298245614035;17.2280701754386;22.5380116847523;17.8538013257478;24.1520463374623;18.6257308658801;1760.82456140351;331.421052631579;13.2105263157895;61.6290487992136;804.105263157895;123.824561403509;578;269.649122807017
500;4106605;PR;Noro;321672;Coffea arabica;0.3;16.1722222222222;0.072;0.0333333333333333;0.0206666666666667;0.3;435.90453769042;1.30649021995142e-06;0.277452700153235;219.666666666667;0.007;0.049;0.00161245983288633;2.96846846846847;435.90453769042;1.30649021995142e-06;2.96846846846847;828.333333333333;1.11367990166078;40.7692307692308;0;1.53846153846154;12.3076923076923;66.1538461538461;85.0746268656716;-53.08368293;-23.75866068;441;22.0416663487752;51.1795342763265;296.79790242513;29.8333333333333;12.6666666666667;17.1666666666667;24.2777773539225;19.3888889948527;25.7777773539225;20.1111110051473;1282.16666666667;213.166666666667;3.33333333333333;55.7427997589111;523.666666666667;82.5;423.666666666667;192.833333333333
