,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
EUdist,-0.21882569534745694,-0.0005940777085641374,-0.1908351994415669,0.042161900899120225,0.028012146971412574,0.15029268834956966,-0.179914919811641,-0.034865242335412557,0.053074541331023906,0.186102697280917,-0.08182714785765105,0.03794400313083533,0.09708756053099037,0.10880659897359271,-0.019452276620449807,-0.09065172948016358,-0.03677308868864196,0.015861016348053186,0.06262652176243946,0.23808657397877617,0.4333573215475116,0.036239573888704794,-0.024566215878259835,0.08585283575321945,0.0016565497237618903,-0.12813505394602384,0.01731251386579671,0.007320763652296972,-0.06127836688991487,0.01161222154198724,-0.0018694113544002705,-0.002005402189485931,0.0058005346495508744,0.0037133682776094613,-0.02793419642123681,-0.0016915782021591362,-0.0023113020732903177,-0.0165007233147049,0.016629143793659578,0.0014119025269897522,0.012111901932896284,0.002624711628221143,0.0007932427197109986,0.0009867605364316807,0.0017235290058676294,0.04174335431949787,-0.0996880007610459,-0.1961021596490899,-0.6575927127373301,-0.13204378823005414
patchD,0.19526364435196633,-0.09590380506010138,0.04062519251061912,0.017693736152761173,-0.08662088945230287,-0.24686094725741614,0.21883074567511573,-0.12355214737595448,-0.21657824262773398,-0.01490537101702172,-0.012482090910061664,0.18105527770194213,-0.09887824082784903,0.06240486861279527,0.033853627913178,0.1479467600461021,-0.3207644161277206,-0.02859109724091554,-0.00026859875724038855,0.015877255268576734,0.240239675406833,0.034545209837524134,-0.1160626797966514,0.06168834550710543,-0.023418048467758253,-0.14322527333800317,0.0022279154598508757,-0.001522493831460725,-0.004043723749187309,-0.005923936720437786,-0.007094418541977894,-0.0060138161252388835,-0.006210394276351488,0.020361798928359185,0.0016044413831869115,-0.0048195735845288955,-0.005533816699965111,-0.012736632315398557,0.011995562119059312,-0.002490943519315858,-0.003111121931100413,-0.009089882818517636,0.008910057765758735,-0.0003915189345847508,0.00029903389899499204,-0.14093934688411733,-0.23774274783650723,0.5867553139967396,-0.18969118343237384,0.20820649071448022
CC,0.17295519012665464,-0.012012939912151297,-0.088649992591711,0.34394764607307,-0.00942823999383816,-0.04967826312257734,0.032500833373515434,0.10141009652910728,-0.03445647448222474,0.07040975355472776,-0.06914964554622623,0.06417679890597869,0.10055195514576695,0.06334641257885518,0.01027426663229313,0.046615527704653166,0.027778962655224667,0.06283187970742032,0.03354909530735335,0.17228548459853887,-0.04330541316142528,0.40785087773958884,0.03857401820581114,-0.08455993716081174,0.07918301785701969,0.308130520983371,-0.12341022518614234,-0.03171574957861658,0.03597134663227362,0.4330721727301467,-0.10649001295366373,0.5133233050288918,0.0044104791959873315,-0.00775272446347491,-0.018794417016052674,0.0080704873696207,0.020131065657512343,0.01781282411171043,0.05269908395953568,0.015549656497238629,-0.022384069316360302,-0.0034696199044493667,-0.009110229121546123,-0.006745927427565846,-0.00616035672761224,5.977217994835419e-15,4.7128868686265424e-15,7.723383412723423e-15,-9.126783104404123e-15,3.661016063024959e-15
CC_ha,0.13238662847445365,0.0392174031524195,-0.0934417862494122,0.3485255156857916,0.02621710886656666,-0.055643925210380515,-0.005480101598919839,-0.09942898864399574,0.20987204081832192,-0.015327218807855309,-0.060462312171383106,0.02857847921965181,0.0675469498866758,-0.15668735195041228,0.17609354246336656,0.05675580510726882,0.09370529166426174,0.04733687831866731,-0.1256595560132168,0.06718205892979158,-0.21239463766484262,0.3077225856065369,-0.012293769101783062,0.6026188758841649,0.07774349499772285,-0.18043281443593875,0.22747641986668302,-0.16644558166357756,-0.059695521702825126,-0.1575473832776487,0.12427788000383293,-0.15858835439750466,-0.029275173936305462,-0.009022380639958015,0.010382926440667762,-0.021372884581129244,-0.040786229236689876,-0.004279665407744872,0.011366109283988865,-0.007375549369691803,0.004221690288973917,0.0006921606522144462,-0.008345602382539693,-0.0038367328485854543,-0.0024453149256114495,-2.4992286160415804e-15,-2.0091648177391547e-16,-3.323633979857614e-15,2.0625887625623315e-15,1.5352691561936475e-15
CC2km,0.19923781597339402,0.00817900207041512,-0.08021990683133028,0.29859148966684346,-0.011276488945104883,-0.041708735597699546,-0.028085398477030083,0.12864187098986882,0.04219989136552135,0.1600552130079632,-0.05392199531848512,0.008756623503249295,0.03336311282689732,0.13998242971141392,-0.12030975110322588,0.07427049350851284,0.11513491901181186,-0.1336173063417359,0.14688396936644166,-0.010697141998930996,-0.08025814933077369,-0.14391357266350382,-0.021799804666419866,-0.10290227937507809,-0.19242582861646484,-0.11773098623483977,0.04555015052246695,0.046064231317700634,-0.06063524624838106,-0.20437567516744914,-0.1192539670854523,-0.03195946706441926,0.11060634173031615,0.3536202270882467,0.09182059566526139,0.27347021313286285,0.5642455651190483,-0.054546556352253465,0.14903692350676756,-0.013878493936785266,0.03824545212243701,-0.0398937458415837,0.006850408619168439,0.01312199256713619,-0.0067538403450577295,4.019183125929612e-15,1.6015529616461095e-14,1.81117521809262e-14,-1.1716839888528185e-14,5.883048527309238e-15
CC500m,0.21965780926954434,0.035055856483702096,-0.06209998664200417,0.16621584533895767,0.054686817655476,-0.040886978366355055,-0.07609158985557155,0.08352168184141488,0.06182290094719261,0.2014511390257912,0.041713977401732306,-0.04262193599280419,-0.024067060559518957,0.17765957142672908,-0.2131188251093819,0.09130780616889334,0.09917567247609278,-0.16618511804646882,0.1010627654358211,-0.08353896890205711,-0.07848032145763187,-0.3896910200645715,-0.11428890778147985,0.018402503316691125,-0.15919525779004767,-0.2189382501441101,0.40306013125070167,-0.037987348615227415,-0.023495349022881744,0.2755779876952997,-0.06916121097277603,0.13669464622844088,-0.09173243326865686,-0.17113892659541322,-0.03714992038556414,-0.15909522147599445,-0.35592984469620464,-0.013051714599621568,-0.1078775227283616,-0.0071518111744116875,-0.03091562356139752,0.017713002741514803,0.011225958533194325,-0.009586210623842854,0.010747893512120202,2.093571366926768e-15,-8.861002409973389e-15,-7.82788409074357e-15,6.799883563011617e-15,3.576268243804449e-15
CC_m,0.17645299122822122,-0.013843603307446602,-0.09218320721830635,0.3198707847906817,-0.04549208995809068,-0.05438123993795295,0.05267113697906242,0.19293252996395516,-0.026449452647278663,0.13863855296480496,-0.06976384618489494,0.030758676901549414,0.07314821165277684,0.11853930380621415,-0.02714698061160968,0.07883811185267973,0.07553803652057417,-0.08283289148483373,0.12134145360405629,0.08760233263885434,0.05088733636712296,0.13364842592096796,0.11734149250673569,-0.3120927129352424,-0.07194751564599057,0.1848075750238475,-0.23772092288648614,0.04981907995112215,0.015372293449143056,-0.24019773140353878,0.25258325326024234,-0.47949491934792454,-0.025316897596317497,-0.20045018112980204,-0.024671861547249218,-0.15169842753261226,-0.24189763146753301,0.04486235233728341,-0.13679033912808788,0.005383910282442212,0.005139912292254316,0.015834385702417186,-0.0010153124621483437,0.013251882136648829,0.005091037169641599,-9.929599511597175e-15,-1.3376325356300496e-14,-1.5602148003387223e-14,1.2193604758821286e-14,-1.2436593338911624e-14
farm_size,0.033891231199688295,0.034462692161951594,0.05413223291746782,-0.08849954356406636,0.4844272199121276,-0.28201080314664156,-0.07932675469113487,0.01731279047819686,-0.08091463289613753,0.20093101522256943,-0.14691009191617496,0.08906819713985198,0.038953791521154336,-0.22819081457530535,0.001979701998400959,-0.03635781551228495,0.055453739877341396,0.15102934383793487,0.06350166108398728,-0.0032596598285864085,0.010263098584020072,-0.004864116234725215,0.014899600558977127,-0.052656080987303705,-0.009867475064346432,-0.02126763236234434,-0.0076323060229066195,-0.0012680469214317496,-0.010550681717313295,-0.021043823984430422,0.00912115211318931,0.0045237190406919444,-0.017778219284636063,0.004453904871195619,-0.0020550457787831553,0.00021055800480867046,0.0014256805096346237,-0.006819980662304737,0.0003438384000346868,-0.0032549290560447493,-0.0015054964662836597,-0.005493434927233868,-0.001769617326772751,-0.0012918646768456112,0.0016657011905484406,0.6212645092811532,0.06372244016562219,0.04398169240729888,-0.04861281770859172,0.32507270696631857
EUdist.mean,-0.21882569534745694,-0.0005940777085641374,-0.19083519944156682,0.04216190089912017,0.028012146971412657,0.1502926883495696,-0.17991491981164098,-0.03486524233541242,0.05307454133102418,0.18610269728091677,-0.08182714785765115,0.03794400313083515,0.09708756053099048,0.10880659897359266,-0.01945227662044957,-0.09065172948016352,-0.03677308868864268,0.015861016348053546,0.06262652176243982,0.2380865739787755,0.4333573215475113,0.03623957388870462,-0.024566215878259065,0.08585283575321882,0.0016565497237613074,-0.128135053946022,0.017312513865794864,0.007320763652298693,-0.061278366889918244,0.011612221541993062,-0.0018694113544025395,-0.0020054021894838217,0.0058005346495650055,0.003713368277613368,-0.02793419642123232,-0.0016915782021783405,-0.0023113020732863244,-0.016500723314696084,0.016629143793658024,0.0014119025269953346,0.012111901932894915,0.002624711628142449,0.000793242719699421,0.0009867605363828465,0.0017235290054570976,-0.041743354319497654,0.09968800076104499,0.196102159649088,0.6575927127373328,0.13204378823005483
patch.density.x.mean,0.1952636443519663,-0.09590380506010135,0.04062519251061913,0.017693736152761146,-0.08662088945230273,-0.24686094725741586,0.2188307456751156,-0.12355214737595466,-0.2165782426277336,-0.014905371017022112,-0.012482090910061935,0.18105527770194207,-0.09887824082784966,0.06240486861279546,0.033853627913178135,0.1479467600461019,-0.3207644161277204,-0.02859109724091783,-0.00026859875724065656,0.015877255268576845,0.24023967540683136,0.03454520983752517,-0.11606267979665082,0.0616883455071073,-0.023418048467759554,-0.14322527333800106,0.0022279154598508133,-0.0015224938314581159,-0.004043723749185364,-0.005923936720433547,-0.007094418541983105,-0.0060138161252243395,-0.006210394276337374,0.02036179892837957,0.001604441383208724,-0.004819573584528407,-0.005533816699949242,-0.012736632315407467,0.011995562119044307,-0.002490943519321147,-0.00311112193109212,-0.009089882818671676,0.008910057765643993,-0.0003915189347225095,0.00029903389926078984,0.14093934688411905,0.23774274783650928,-0.5867553139967394,0.18969118343237276,-0.20820649071447728
